区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度
57061/平陆,小时数据,2024-12-29 17,2024-12-29 17:00:38,000,957.4,1026.3,2.0,2.3,32,17193,0.0,-,2,3.2,6,3.9,0.9,2.3
57061/平陆,小时数据,2024-12-29 16,2024-12-29 16:00:39,000,957.4,1026.3,2.5,2.1,29,21563,0.0,-,355,7.4,357,6.8,4.0,3.7
57061/平陆,小时数据,2024-12-29 15,2024-12-29 15:00:39,000,957.1,1025.5,4.5,2.0,24,19929,0.0,-,355,4.0,352,3.9,11.6,12.6
57061/平陆,小时数据,2024-12-29 14,2024-12-29 14:00:42,000,957.7,1026.4,3.1,2.1,28,24917,0.0,-,282,2.2,262,2.7,14.2,12.2
57061/平陆,小时数据,2024-12-29 13,2024-12-29 13:00:39,000,959.1,1027.9,2.1,2.1,30,18347,0.0,-,241,3.7,246,3.4,14.0,10.1
57061/平陆,小时数据,2024-12-29 12,2024-12-29 12:00:40,000,960.7,1029.7,1.4,2.2,33,19940,0.0,-,276,2.4,272,2.1,14.6,12.8
57061/平陆,小时数据,2024-12-29 11,2024-12-29 11:00:41,000,962.0,1031.3,-1.8,2.1,40,16057,0.0,-,272,2.7,269,2.8,3.6,1.9
57061/平陆,小时数据,2024-12-29 10,2024-12-29 10:00:41,000,961.9,1031.4,-3.5,2.1,45,11209,0.0,-,278,1.5,278,1.8,-0.8,-1.2
57061/平陆,小时数据,2024-12-29 09,2024-12-29 09:00:40,000,961.4,1031.1,-5.6,2.1,53,15814,0.0,-,33,1.7,133,0.7,-3.9,-3.8
57061/平陆,小时数据,2024-12-29 08,2024-12-29 08:00:38,000,960.6,1030.2,-6.2,2.0,52,14970,0.0,-,256,2.0,250,1.8,-6.7,-6.6
57061/平陆,小时数据,2024-12-29 07,2024-12-29 07:00:41,000,960.1,1029.6,-6.2,1.9,50,17534,0.0,-,295,1.7,273,2.1,-8.5,-8.0
57061/平陆,小时数据,2024-12-29 06,2024-12-29 06:00:42,000,959.3,1028.7,-7.0,1.8,50,19695,0.0,-,50,1.8,55,1.5,-10.3,-10.8
57061/平陆,小时数据,2024-12-29 05,2024-12-29 05:00:40,000,958.8,1027.8,-6.1,1.8,47,18349,0.0,-,242,1.1,261,1.2,-10.9,-11.2
57061/平陆,小时数据,2024-12-29 04,2024-12-29 04:00:37,000,959.4,1028.4,-6.3,1.7,44,28976,0.0,-,37,0.6,40,0.7,-10.6,-11.6
57061/平陆,小时数据,2024-12-29 03,2024-12-29 03:00:39,000,959.8,1028.5,-5.0,1.6,38,25344,0.0,-,181,0.3,237,0.7,-10.3,-10.2
57061/平陆,小时数据,2024-12-29 02,2024-12-29 02:00:39,000,960.2,1029.0,-5.2,1.4,33,30000,0.0,-,66,1.0,55,0.8,-10.6,-11.7
57061/平陆,小时数据,2024-12-29 01,2024-12-29 01:00:43,000,960.4,1029.2,-4.7,1.4,33,27831,0.0,-,PPC,0.0,6,0.5,-9.9,-10.5
57061/平陆,小时数据,2024-12-29 00,2024-12-29 00:00:40,000,961.3,1030.3,-4.4,1.6,37,10151,0.0,-,339,1.7,344,1.9,-9.0,-8.8
57061/平陆,小时数据,2024-12-28 23,2024-12-28 23:00:41,000,962.2,1031.3,-2.7,1.7,34,14685,0.0,-,271,1.2,252,1.4,-8.9,-8.1
57061/平陆,小时数据,2024-12-28 22,2024-12-28 22:00:40,000,962.5,1031.7,-2.2,1.5,29,28713,0.0,-,12,2.1,9,2.3,-7.8,-7.7
57061/平陆,小时数据,2024-12-28 21,2024-12-28 21:00:39,000,962.7,1032.2,-2.4,1.4,28,29104,0.0,-,357,1.8,360,2.4,-7.3,-6.9
57061/平陆,小时数据,2024-12-28 20,2024-12-28 20:00:39,000,962.4,1032.2,-1.2,1.4,25,30000,0.0,-,22,1.9,28,2.0,-7.1,-7.0
57061/平陆,小时数据,2024-12-28 19,2024-12-28 19:00:41,000,962.7,1032.2,-0.5,1.6,27,26316,0.0,-,354,3.1,1,3.1,-5.4,-5.0
57061/平陆,小时数据,2024-12-28 18,2024-12-28 18:00:39,000,962.4,1031.7,0.4,1.6,25,30000,0.0,-,340,3.0,342,2.7,-4.2,-3.3
57061/平陆,小时数据,2024-12-28 17,2024-12-28 17:00:39,000,962.6,1031.8,2.0,1.5,21,30000,0.0,-,347,3.8,346,3.6,0.1,2.5
57061/平陆,小时数据,2024-12-28 16,2024-12-28 16:00:37,000,963.2,1032.3,3.0,1.4,19,30000,0.0,-,358,5.5,357,5.3,7.3,10.0
57061/平陆,小时数据,2024-12-28 15,2024-12-28 15:00:40,000,963.9,1033.0,3.6,1.5,19,30000,0.0,-,360,4.9,357,4.4,11.8,12.9
57061/平陆,小时数据,2024-12-28 14,2024-12-28 14:00:42,000,964.9,1034.0,3.7,1.4,18,30000,0.0,-,353,3.7,344,3.7,15.3,16.8
57061/平陆,小时数据,2024-12-28 13,2024-12-28 13:00:40,000,966.2,1035.3,3.2,1.7,22,30000,0.0,-,345,2.6,318,2.2,16.8,18.5
57061/平陆,小时数据,2024-12-28 12,2024-12-28 12:00:41,000,967.8,1037.2,1.6,1.9,27,30000,0.0,-,119,1.4,273,1.6,15.2,12.1
57061/平陆,小时数据,2024-12-28 11,2024-12-28 11:00:40,000,969.2,1038.8,0.2,2.0,32,23628,0.0,-,240,4.7,234,3.9,10.1,8.0
57061/平陆,小时数据,2024-12-28 10,2024-12-28 10:00:40,000,969.8,1039.5,-0.9,1.8,31,27212,0.0,-,282,1.7,262,1.7,6.0,7.9
57061/平陆,小时数据,2024-12-28 09,2024-12-28 09:00:37,000,970.0,1040.0,-3.2,1.7,35,22383,0.0,-,264,2.9,280,2.6,-2.1,0.1
57061/平陆,小时数据,2024-12-28 08,2024-12-28 08:00:43,000,970.0,1040.4,-6.6,1.6,42,26432,0.0,-,277,1.8,272,2.3,-9.1,-7.8
57061/平陆,小时数据,2024-12-28 07,2024-12-28 07:00:39,000,970.0,1040.1,-5.1,1.5,36,30000,0.0,-,349,4.0,351,4.2,-8.4,-7.2
57061/平陆,小时数据,2024-12-28 06,2024-12-28 06:00:42,000,970.0,1040.0,-5.0,1.5,35,30000,0.0,-,342,3.0,342,2.9,-8.6,-7.5
57061/平陆,小时数据,2024-12-28 05,2024-12-28 05:00:39,000,970.5,1040.4,-5.2,1.5,35,30000,0.0,-,340,3.2,340,3.2,-8.5,-7.3
57061/平陆,小时数据,2024-12-28 04,2024-12-28 04:00:40,000,970.9,1040.8,-5.6,1.4,36,30000,0.0,-,326,3.3,332,3.8,-8.3,-7.3
57061/平陆,小时数据,2024-12-28 03,2024-12-28 03:00:39,000,971.3,1041.1,-5.3,1.4,34,30000,0.0,-,327,3.3,331,3.4,-8.2,-7.0
57061/平陆,小时数据,2024-12-28 02,2024-12-28 02:00:41,000,971.6,1041.4,-4.8,1.4,32,30000,0.0,-,314,4.4,309,4.1,-8.0,-6.6
57061/平陆,小时数据,2024-12-28 01,2024-12-28 01:00:37,000,971.7,1041.5,-3.9,1.4,30,30000,0.0,-,305,3.3,307,3.4,-8.0,-6.3
57061/平陆,小时数据,2024-12-28 00,2024-12-28 00:00:50,000,972.2,1042.1,-3.6,1.3,28,30000,0.0,-,297,2.4,305,2.7,-8.1,-7.0
57061/平陆,小时数据,2024-12-27 23,2024-12-27 23:00:41,000,972.9,1042.8,-3.0,1.3,27,30000,0.0,-,305,3.4,312,3.3,-7.1,-5.5
57061/平陆,小时数据,2024-12-27 22,2024-12-27 22:00:40,000,973.5,1043.3,-2.2,1.3,25,22010,0.0,-,305,3.6,294,3.1,-7.0,-5.3
57061/平陆,小时数据,2024-12-27 21,2024-12-27 21:00:38,000,973.8,1043.8,-2.1,1.3,25,25944,0.0,-,288,2.8,283,2.8,-6.7,-4.9
57061/平陆,小时数据,2024-12-27 20,2024-12-27 20:00:41,000,973.7,1043.6,-1.6,1.3,24,30000,0.0,-,305,2.9,304,2.9,-6.3,-5.0
57061/平陆,小时数据,2024-12-27 19,2024-12-27 19:00:39,000,973.2,1042.9,-1.2,1.3,23,30000,0.0,-,311,3.0,315,3.1,-5.4,-4.1
57061/平陆,小时数据,2024-12-27 18,2024-12-27 18:00:39,000,972.8,1042.4,-0.4,1.3,22,23423,0.0,-,326,2.6,337,2.4,-4.2,-3.6
57061/平陆,小时数据,2024-12-27 17,2024-12-27 17:00:41,000,972.2,1041.7,0.9,1.3,20,30000,0.0,-,338,5.1,338,5.2,-0.4,0.8
57061/平陆,小时数据,2024-12-27 16,2024-12-27 16:00:41,000,972.2,1041.6,1.6,1.4,21,30000,0.0,-,338,4.9,346,5.7,5.3,6.4
57061/平陆,小时数据,2024-12-27 15,2024-12-27 15:00:38,000,971.9,1041.2,1.8,1.6,23,30000,0.0,-,329,5.4,337,6.0,8.4,8.4
57061/平陆,小时数据,2024-12-27 14,2024-12-27 14:00:39,000,971.9,1041.2,1.8,1.7,24,23058,0.0,-,335,6.7,338,6.4,9.9,9.8
57061/平陆,小时数据,2024-12-27 13,2024-12-27 13:00:40,000,972.5,1041.8,1.0,1.6,24,30000,0.0,-,336,6.0,338,7.0,8.2,7.8
57061/平陆,小时数据,2024-12-27 12,2024-12-27 12:00:39,000,973.6,1043.2,0.1,1.5,24,23667,0.0,-,327,8.3,327,7.6,7.2,6.2
57061/平陆,小时数据,2024-12-27 11,2024-12-27 11:00:39,000,974.1,1043.8,-0.2,1.7,28,17244,0.0,-,328,7.3,334,7.3,5.5,4.7
57061/平陆,小时数据,2024-12-27 10,2024-12-27 10:00:38,000,973.8,1043.3,-0.2,1.9,31,30000,0.0,-,321,3.9,316,4.6,3.6,4.5
57061/平陆,小时数据,2024-12-27 09,2024-12-27 09:00:40,000,972.6,1041.8,-0.9,2.0,35,21561,0.0,-,330,4.4,339,5.9,-1.3,-0.5
57061/平陆,小时数据,2024-12-27 08,2024-12-27 08:00:40,000,970.9,1039.9,-0.7,1.9,32,26486,0.0,-,332,4.9,330,5.5,-3.3,-1.8
57061/平陆,小时数据,2024-12-27 07,2024-12-27 07:00:40,000,969.7,1038.5,0.0,1.8,30,29800,0.0,-,330,4.0,325,3.9,-4.3,-2.2
57061/平陆,小时数据,2024-12-27 06,2024-12-27 06:00:39,000,968.9,1037.6,-0.6,1.9,33,30000,0.0,-,327,1.7,327,1.7,-6.0,-4.7
57061/平陆,小时数据,2024-12-27 05,2024-12-27 05:00:39,000,968.6,1037.2,-1.4,2.5,46,12208,0.0,-,298,1.4,298,1.4,-6.1,-5.5
57061/平陆,小时数据,2024-12-27 04,2024-12-27 04:00:39,000,968.7,1037.1,-1.0,2.4,42,16689,0.0,-,303,2.1,299,2.2,-5.3,-5.0
57061/平陆,小时数据,2024-12-27 03,2024-12-27 03:00:39,000,968.7,1037.1,-1.0,2.8,50,7586,0.0,-,9,1.3,355,1.0,-5.1,-5.4
57061/平陆,小时数据,2024-12-27 02,2024-12-27 02:00:42,000,968.2,1036.6,-0.9,2.9,50,7896,0.0,-,297,1.7,290,2.2,-5.0,-3.7
57061/平陆,小时数据,2024-12-27 01,2024-12-27 01:00:39,000,967.7,1036.0,0.0,2.6,43,10660,0.0,-,355,2.8,354,3.2,-4.6,-3.7
57061/平陆,小时数据,2024-12-27 00,2024-12-27 00:00:39,000,968.0,1036.6,-0.6,2.8,48,7787,0.0,-,39,1.2,20,1.6,-4.9,-5.0
57061/平陆,小时数据,2024-12-26 23,2024-12-26 23:00:38,000,967.4,1036.2,-0.4,2.8,47,8132,0.0,-,31,2.1,19,1.9,-3.8,-3.5
57061/平陆,小时数据,2024-12-26 22,2024-12-26 22:00:39,000,966.4,1035.2,0.7,2.8,44,7583,0.0,-,145,0.3,151,0.5,-5.1,-5.0
57061/平陆,小时数据,2024-12-26 21,2024-12-26 21:00:40,000,965.7,1034.4,2.7,2.7,37,9566,0.0,-,137,1.9,123,2.0,-2.8,-0.1
57061/平陆,小时数据,2024-12-26 20,2024-12-26 20:00:39,000,965.3,1033.9,3.3,2.9,37,8883,0.0,-,118,0.8,121,1.6,-0.8,1.2
57061/平陆,小时数据,2024-12-26 19,2024-12-26 19:00:40,000,964.4,1032.8,3.7,2.9,36,9115,0.0,-,79,1.8,88,1.8,0.1,2.0
57061/平陆,小时数据,2024-12-26 18,2024-12-26 18:00:42,000,963.2,1031.4,4.4,2.7,32,9872,0.0,-,122,1.6,129,2.5,0.7,2.6
57061/平陆,小时数据,2024-12-26 17,2024-12-26 17:00:39,000,962.4,1030.3,6.1,2.5,27,11819,0.0,-,132,4.5,136,4.4,4.9,5.5
57061/平陆,小时数据,2024-12-26 16,2024-12-26 16:00:38,000,962.4,1030.2,6.9,2.5,25,16036,0.0,-,136,4.7,136,4.8,10.7,9.6
57061/平陆,小时数据,2024-12-26 15,2024-12-26 15:00:39,000,962.9,1030.7,7.5,2.6,25,15484,0.0,-,141,3.5,135,3.0,14.5,12.1
57061/平陆,小时数据,2024-12-26 14,2024-12-26 14:00:39,000,963.4,1031.3,6.8,2.4,24,20156,0.0,-,131,2.0,133,2.1,14.9,13.5
57061/平陆,小时数据,2024-12-26 13,2024-12-26 13:00:39,000,965.0,1032.9,6.1,2.4,26,18343,0.0,-,178,2.7,194,2.2,15.8,13.0
57061/平陆,小时数据,2024-12-26 12,2024-12-26 12:00:39,000,966.7,1035.0,4.8,2.9,34,13466,0.0,-,235,0.6,228,1.0,15.2,15.5
57061/平陆,小时数据,2024-12-26 11,2024-12-26 11:00:39,000,968.0,1036.6,2.9,3.4,45,9758,0.0,-,123,1.4,127,1.2,13.1,11.4
57061/平陆,小时数据,2024-12-26 10,2024-12-26 10:00:38,000,968.1,1037.1,0.9,3.2,49,11261,0.0,-,202,1.8,178,2.0,5.8,7.3
57061/平陆,小时数据,2024-12-26 09,2024-12-26 09:00:41,000,967.9,1036.9,-0.3,3.2,54,8123,0.0,-,236,1.6,236,1.6,-0.9,0.7
57061/平陆,小时数据,2024-12-26 08,2024-12-26 08:00:42,000,967.2,1036.2,-0.8,2.9,50,12909,0.0,-,264,2.4,267,2.5,-3.9,-2.2
57061/平陆,小时数据,2024-12-26 07,2024-12-26 07:00:39,000,966.9,1035.7,0.2,2.2,35,12384,0.0,-,329,3.1,324,2.6,-4.3,-2.8
57061/平陆,小时数据,2024-12-26 06,2024-12-26 06:00:38,000,966.5,1035.0,0.6,2.3,36,22640,0.0,-,346,3.8,346,3.7,-2.7,-1.5
57061/平陆,小时数据,2024-12-26 05,2024-12-26 05:00:41,000,966.1,1034.3,0.8,2.3,35,30000,0.0,-,349,3.6,353,3.7,-3.3,-2.2
