区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度
53478/右玉,小时数据,2025-01-09 18,2025-01-09 18:00:46,000,876.8,1048.1,-12.8,0.8,36,7299,0.0,-,18,0.9,6,0.8,-16.1,-24.4
53478/右玉,小时数据,2025-01-09 17,2025-01-09 17:00:44,000,876.4,1045.8,-7.8,0.9,25,30000,0.0,-,114,1.7,118,1.8,-11.2,-11.8
53478/右玉,小时数据,2025-01-09 16,2025-01-09 16:00:47,000,876.2,1045.0,-6.9,0.8,22,30000,0.0,-,127,1.8,133,1.4,-1.1,-2.5
53478/右玉,小时数据,2025-01-09 15,2025-01-09 15:00:45,000,876.1,1044.9,-7.4,0.8,22,30000,0.0,-,82,1.8,91,2.3,3.8,1.2
53478/右玉,小时数据,2025-01-09 14,2025-01-09 14:00:45,000,876.2,1045.1,-7.7,0.8,23,30000,0.0,-,82,2.3,74,1.9,6.7,5.6
53478/右玉,小时数据,2025-01-09 13,2025-01-09 13:00:42,000,876.7,1045.9,-8.5,0.8,26,25308,0.0,-,101,2.3,93,2.6,6.8,5.2
53478/右玉,小时数据,2025-01-09 12,2025-01-09 12:00:39,000,877.3,1046.6,-10.3,1.1,40,29840,0.0,-,229,1.1,209,1.1,3.8,3.3
53478/右玉,小时数据,2025-01-09 11,2025-01-09 11:00:37,000,877.8,1048.3,-13.7,1.1,53,28967,0.0,-,211,1.0,238,1.4,-0.9,-0.2
53478/右玉,小时数据,2025-01-09 10,2025-01-09 10:00:46,000,877.6,1048.8,-17.2,1.0,64,18455,0.0,-,206,0.6,224,0.8,-8.9,-5.3
53478/右玉,小时数据,2025-01-09 09,2025-01-09 09:00:44,000,877.2,1049.1,-21.3,0.8,72,8299,0.0,-,80,1.3,97,1.5,-22.0,-21.7
53478/右玉,小时数据,2025-01-09 08,2025-01-09 08:00:38,000,876.4,1048.6,-25.4,0.6,74,7920,0.0,-,PPC,0.2,8,0.3,-24.8,-30.2
53478/右玉,小时数据,2025-01-09 07,2025-01-09 07:00:44,000,875.7,1047.1,-25.0,0.6,75,18923,0.0,-,PPC,0.0,61,0.5,-24.6,-30.5
53478/右玉,小时数据,2025-01-09 06,2025-01-09 06:00:46,000,875.3,1046.0,-24.2,0.7,75,24701,0.0,-,318,0.6,14,0.7,-24.2,-29.9
53478/右玉,小时数据,2025-01-09 05,2025-01-09 05:00:37,000,874.8,1044.6,-24.1,0.7,75,30000,0.0,-,84,1.6,87,1.8,-23.6,-28.3
53478/右玉,小时数据,2025-01-09 04,2025-01-09 04:00:44,000,874.9,1044.0,-23.5,0.7,73,29338,0.0,-,2,0.6,355,1.0,-23.3,-29.2
53478/右玉,小时数据,2025-01-09 03,2025-01-09 03:00:39,000,874.7,1043.6,-23.1,0.7,72,30000,0.0,-,136,0.5,105,1.0,-22.9,-28.3
53478/右玉,小时数据,2025-01-09 02,2025-01-09 02:00:44,000,874.4,1043.4,-22.9,0.7,75,26479,0.0,-,PPC,0.0,87,0.6,-22.5,-29.4
53478/右玉,小时数据,2025-01-09 01,2025-01-09 01:00:48,000,874.3,1043.5,-22.8,0.7,74,29973,0.0,-,290,0.4,303,0.6,-21.9,-28.2
53478/右玉,小时数据,2025-01-09 00,2025-01-09 00:01:00,000,874.2,1043.1,-20.8,0.8,71,29189,0.0,-,122,0.7,175,0.6,-21.2,-27.4
53478/右玉,小时数据,2025-01-08 23,2025-01-08 23:00:47,000,874.3,1043.7,-20.6,0.9,74,30000,0.0,-,267,0.8,272,0.7,-20.6,-27.6
53478/右玉,小时数据,2025-01-08 22,2025-01-08 22:00:42,000,874.3,1043.8,-19.2,1.0,72,30000,0.0,-,106,0.9,84,1.1,-19.7,-26.7
53478/右玉,小时数据,2025-01-08 21,2025-01-08 21:00:40,000,874.0,1044.1,-17.0,1.0,62,30000,0.0,-,56,0.5,31,0.9,-18.6,-25.5
53478/右玉,小时数据,2025-01-08 20,2025-01-08 20:00:43,000,873.7,1044.1,-14.4,1.1,55,19601,0.0,-,338,1.2,339,1.5,-17.2,-22.5
53478/右玉,小时数据,2025-01-08 19,2025-01-08 19:00:44,000,873.3,1043.2,-12.8,1.1,50,30000,0.0,-,330,2.6,330,2.5,-15.3,-17.7
53478/右玉,小时数据,2025-01-08 18,2025-01-08 18:00:42,000,872.5,1041.5,-11.9,1.1,45,30000,0.0,-,304,1.9,312,1.8,-14.3,-18.4
53478/右玉,小时数据,2025-01-08 17,2025-01-08 17:00:44,000,871.9,1039.4,-9.7,1.1,38,30000,0.0,-,305,3.1,318,3.2,-11.1,-13.0
53478/右玉,小时数据,2025-01-08 16,2025-01-08 16:00:38,000,871.8,1037.8,-8.4,1.1,34,30000,0.0,-,310,2.4,299,3.2,-1.9,-4.1
53478/右玉,小时数据,2025-01-08 15,2025-01-08 15:00:42,000,871.6,1037.0,-8.4,1.1,33,30000,0.0,-,312,3.0,308,3.0,3.8,1.4
53478/右玉,小时数据,2025-01-08 14,2025-01-08 14:00:37,000,871.8,1037.0,-9.1,1.0,33,30000,0.0,-,287,4.4,316,3.4,6.0,4.1
53478/右玉,小时数据,2025-01-08 13,2025-01-08 13:00:45,000,872.2,1037.2,-9.8,1.0,35,30000,0.0,-,335,2.2,341,2.9,6.7,4.4
53478/右玉,小时数据,2025-01-08 12,2025-01-08 12:00:45,000,872.9,1038.0,-10.9,1.0,38,30000,0.0,-,291,2.8,322,3.7,3.4,2.4
53478/右玉,小时数据,2025-01-08 11,2025-01-08 11:00:45,000,873.6,1038.6,-12.5,1.1,45,30000,0.0,-,282,2.9,278,3.4,0.0,-0.3
53478/右玉,小时数据,2025-01-08 10,2025-01-08 10:00:44,000,873.7,1038.8,-14.1,1.1,54,30000,0.0,-,265,2.1,275,2.1,-7.0,-3.0
53478/右玉,小时数据,2025-01-08 09,2025-01-08 09:00:42,000,873.1,1039.3,-18.3,1.1,78,11153,0.0,-,PPC,0.0,63,0.5,-19.7,-20.1
53478/右玉,小时数据,2025-01-08 08,2025-01-08 08:14:01,CCA,872.1,1038.8,-21.9,0.8,78,29757,0.0,-,46,0.7,53,0.9,-22.0,-27.9
53478/右玉,小时数据,2025-01-08 07,2025-01-08 07:00:43,000,871.5,1038.2,-22.2,0.8,77,30000,0.0,-,39,0.8,38,0.9,-21.8,-28.1
53478/右玉,小时数据,2025-01-08 06,2025-01-08 06:00:37,000,870.8,1037.0,-21.0,0.9,76,30000,0.0,-,8,0.8,351,0.8,-21.3,-28.0
53478/右玉,小时数据,2025-01-08 05,2025-01-08 05:00:42,000,870.7,1036.0,-19.4,1.0,75,30000,0.0,-,PPC,0.0,331,0.3,-20.5,-27.8
53478/右玉,小时数据,2025-01-08 04,2025-01-08 04:00:38,000,870.5,1034.4,-16.4,1.2,68,30000,0.0,-,262,0.9,254,1.0,-19.4,-26.1
53478/右玉,小时数据,2025-01-08 03,2025-01-08 03:00:46,000,870.3,1033.8,-14.6,1.3,65,30000,0.0,-,41,0.7,327,1.0,-18.0,-22.8
53478/右玉,小时数据,2025-01-08 02,2025-01-08 02:00:44,000,869.5,1032.2,-13.2,1.4,63,30000,0.0,-,309,1.5,309,1.6,-17.0,-19.7
53478/右玉,小时数据,2025-01-08 01,2025-01-08 01:00:45,000,869.1,1031.4,-11.7,1.5,59,30000,0.0,-,289,2.4,288,1.9,-15.7,-18.0
53478/右玉,小时数据,2025-01-08 00,2025-01-08 00:00:50,000,868.9,1031.2,-10.5,1.6,59,30000,0.0,-,347,1.9,356,2.4,-13.7,-14.7
53478/右玉,小时数据,2025-01-07 23,2025-01-07 23:00:44,000,868.0,1029.7,-8.3,1.8,54,30000,0.0,-,303,4.1,301,3.4,-10.7,-10.6
53478/右玉,小时数据,2025-01-07 22,2025-01-07 22:00:45,000,867.5,1029.4,-7.0,2.1,57,30000,0.0,-,323,5.0,322,5.7,-8.8,-8.2
53478/右玉,小时数据,2025-01-07 21,2025-01-07 21:00:48,000,866.5,1028.9,-6.2,2.7,71,8932,0.0,-,305,5.9,323,4.7,-8.1,-7.1
53478/右玉,小时数据,2025-01-07 20,2025-01-07 20:00:47,000,865.7,1028.1,-4.8,1.9,45,30000,0.0,-,301,4.0,299,4.5,-9.0,-7.8
53478/右玉,小时数据,2025-01-07 19,2025-01-07 19:00:42,000,865.2,1027.6,-4.8,1.7,40,30000,0.0,-,284,5.6,279,5.7,-8.8,-7.2
53478/右玉,小时数据,2025-01-07 18,2025-01-07 18:00:46,000,864.9,1027.2,-4.7,1.6,38,30000,0.0,-,274,5.6,273,5.9,-8.5,-7.0
53478/右玉,小时数据,2025-01-07 17,2025-01-07 17:00:46,000,864.6,1026.9,-3.9,1.6,35,30000,0.0,-,274,7.2,273,6.0,-6.9,-5.9
53478/右玉,小时数据,2025-01-07 16,2025-01-07 16:00:45,000,865.0,1027.0,-2.9,1.7,34,30000,0.0,-,271,5.9,275,6.5,-0.5,-0.9
53478/右玉,小时数据,2025-01-07 15,2025-01-07 15:00:44,000,865.4,1027.5,-3.4,1.7,36,30000,0.0,-,279,6.4,281,5.5,-1.9,-2.8
53478/右玉,小时数据,2025-01-07 14,2025-01-07 14:00:45,000,865.6,1029.2,-3.1,1.7,36,30000,0.0,-,273,6.3,278,7.6,6.2,3.9
53478/右玉,小时数据,2025-01-07 13,2025-01-07 13:00:40,000,866.3,1029.2,-3.4,1.8,38,28607,0.0,-,277,5.2,286,6.1,7.7,7.0
53478/右玉,小时数据,2025-01-07 12,2025-01-07 12:00:41,000,867.5,1031.6,-4.8,1.7,39,30000,0.0,-,285,5.0,286,6.5,1.6,2.2
53478/右玉,小时数据,2025-01-07 11,2025-01-07 11:00:44,000,868.3,1031.7,-5.6,1.6,40,30000,0.0,-,294,5.4,287,5.9,2.1,2.6
53478/右玉,小时数据,2025-01-07 10,2025-01-07 10:00:44,000,868.9,1032.4,-8.0,1.7,51,30000,0.0,-,320,2.1,310,2.6,-4.4,2.4
53478/右玉,小时数据,2025-01-07 09,2025-01-07 09:00:49,000,868.9,1032.8,-10.7,1.6,60,22949,0.0,-,292,1.7,294,1.7,-16.3,-13.7
53478/右玉,小时数据,2025-01-07 08,2025-01-07 08:00:46,000,868.5,1033.8,-12.7,1.5,64,30000,0.0,-,309,2.8,305,2.8,-18.4,-17.8
53478/右玉,小时数据,2025-01-07 07,2025-01-07 07:00:45,000,868.5,1032.9,-13.0,1.5,65,24934,0.0,-,275,2.7,279,2.5,-18.9,-18.4
53478/右玉,小时数据,2025-01-07 06,2025-01-07 06:00:38,000,868.5,1032.2,-13.0,1.5,65,30000,0.0,-,309,1.7,314,1.8,-19.1,-21.6
53478/右玉,小时数据,2025-01-07 05,2025-01-07 05:00:41,000,868.8,1032.2,-13.7,1.6,76,30000,0.0,-,295,2.3,298,2.0,-19.7,-21.5
53478/右玉,小时数据,2025-01-07 04,2025-01-07 04:00:41,000,869.3,1032.5,-13.8,1.4,68,17484,0.0,-,303,1.3,300,1.0,-19.6,-25.0
53478/右玉,小时数据,2025-01-07 03,2025-01-07 03:00:42,000,869.9,1033.0,-13.3,1.5,68,18207,0.0,-,296,1.6,287,1.6,-19.1,-23.4
53478/右玉,小时数据,2025-01-07 02,2025-01-07 02:00:39,000,870.2,1035.1,-18.0,1.1,73,23618,0.0,-,304,1.5,259,1.0,-19.4,-25.3
53478/右玉,小时数据,2025-01-07 01,2025-01-07 01:00:44,000,870.7,1034.8,-15.3,1.3,68,30000,0.0,-,268,0.7,237,0.9,-18.8,-23.8
53478/右玉,小时数据,2025-01-07 00,2025-01-07 00:00:59,000,871.2,1036.2,-16.6,1.2,74,30000,0.0,-,300,0.4,304,0.3,-18.4,-24.8
53478/右玉,小时数据,2025-01-06 23,2025-01-06 23:00:44,000,871.3,1035.8,-13.5,1.4,67,30000,0.0,-,5,1.3,342,1.2,-17.4,-23.6
53478/右玉,小时数据,2025-01-06 22,2025-01-06 22:00:44,000,871.1,1036.2,-10.8,1.6,58,26280,0.0,-,297,2.1,304,2.4,-14.9,-14.9
53478/右玉,小时数据,2025-01-06 21,2025-01-06 21:00:45,000,871.1,1037.2,-9.3,1.6,54,30000,0.0,-,314,2.3,310,2.2,-14.3,-14.4
53478/右玉,小时数据,2025-01-06 20,2025-01-06 20:00:47,000,870.7,1039.5,-11.7,1.5,61,10106,0.0,-,310,1.8,302,1.4,-15.1,-21.7
53478/右玉,小时数据,2025-01-06 19,2025-01-06 19:00:43,000,870.4,1037.7,-8.9,1.6,52,3586,0.0,-,272,1.0,281,1.0,-13.9,-21.0
53478/右玉,小时数据,2025-01-06 18,2025-01-06 18:00:46,000,870.0,1035.6,-6.6,1.6,44,30000,0.0,-,309,2.0,306,2.3,-11.0,-12.4
53478/右玉,小时数据,2025-01-06 17,2025-01-06 17:00:45,000,869.6,1034.8,-5.0,1.6,39,30000,0.0,-,291,4.6,288,4.5,-8.1,-7.8
53478/右玉,小时数据,2025-01-06 16,2025-01-06 16:00:43,000,869.6,1034.8,-3.9,1.6,35,30000,0.0,-,283,3.8,291,4.3,-0.8,-1.5
53478/右玉,小时数据,2025-01-06 15,2025-01-06 15:00:42,000,869.6,1034.7,-3.9,1.3,29,30000,0.0,-,275,5.3,282,5.5,4.1,2.7
53478/右玉,小时数据,2025-01-06 14,2025-01-06 14:00:41,000,869.9,1034.6,-4.4,1.2,27,30000,0.0,-,296,5.0,294,5.3,6.3,5.1
53478/右玉,小时数据,2025-01-06 13,2025-01-06 13:00:41,000,870.4,1034.6,-4.5,1.2,27,30000,0.0,-,324,5.1,320,4.5,7.2,6.1
53478/右玉,小时数据,2025-01-06 12,2025-01-06 12:00:43,000,871.2,1034.4,-5.5,1.3,31,22932,0.0,-,268,4.3,291,4.2,5.5,6.1
53478/右玉,小时数据,2025-01-06 11,2025-01-06 11:00:43,000,872.0,1036.1,-7.0,1.4,39,18377,0.0,-,266,1.3,184,1.0,1.5,4.0
53478/右玉,小时数据,2025-01-06 10,2025-01-06 10:00:38,000,872.2,1038.7,-11.6,1.3,52,6107,0.0,-,229,0.9,221,1.0,-6.8,-0.4
53478/右玉,小时数据,2025-01-06 09,2025-01-06 09:00:43,000,871.9,1038.6,-16.1,1.4,79,3914,0.0,-,PPC,0.0,81,0.3,-19.1,-19.7
53478/右玉,小时数据,2025-01-06 08,2025-01-06 08:00:43,000,871.5,1039.6,-21.5,0.8,76,18775,0.0,-,28,0.9,41,0.7,-21.4,-26.2
53478/右玉,小时数据,2025-01-06 07,2025-01-06 07:00:42,000,871.0,1038.2,-20.2,0.9,75,10427,0.0,-,329,0.8,334,0.7,-21.4,-27.1
53478/右玉,小时数据,2025-01-06 06,2025-01-06 06:00:42,000,870.7,1036.5,-17.9,1.1,74,24482,0.0,-,237,1.4,238,1.3,-21.0,-26.0
53478/右玉,小时数据,2025-01-06 05,2025-01-06 05:00:41,000,870.4,1035.8,-18.7,1.0,74,23138,0.0,-,248,0.6,PPC,0.2,-20.7,-26.8
53478/右玉,小时数据,2025-01-06 04,2025-01-06 04:00:42,000,870.5,1035.8,-19.7,1.0,74,30000,0.0,-,330,0.9,316,0.8,-20.3,-26.5
53478/右玉,小时数据,2025-01-06 03,2025-01-06 03:00:39,000,870.8,1035.9,-19.3,1.0,73,30000,0.0,-,263,1.2,266,1.1,-19.9,-26.4
53478/右玉,小时数据,2025-01-06 02,2025-01-06 02:00:38,000,870.8,1035.5,-17.6,1.1,72,30000,0.0,-,349,0.7,346,0.6,-19.2,-25.8
53478/右玉,小时数据,2025-01-06 01,2025-01-06 01:00:46,000,870.7,1034.8,-15.7,1.1,63,30000,0.0,-,PPC,0.0,PPC,0.2,-18.4,-24.7
53478/右玉,小时数据,2025-01-06 00,2025-01-06 00:00:52,000,870.7,1033.6,-11.3,1.2,47,27976,0.0,-,273,1.0,279,1.9,-16.6,-18.3
53478/右玉,小时数据,2025-01-05 23,2025-01-05 23:00:43,000,870.5,1033.8,-12.0,1.2,49,30000,0.0,-,321,1.7,317,1.6,-16.6,-20.5
53478/右玉,小时数据,2025-01-05 22,2025-01-05 22:00:42,000,870.2,1034.7,-14.4,1.2,62,20182,0.0,-,317,1.5,320,1.1,-16.6,-23.5
53478/右玉,小时数据,2025-01-05 21,2025-01-05 21:00:39,000,869.7,1033.4,-10.6,1.3,49,19516,0.0,-,268,1.5,268,1.8,-14.8,-18.6
53478/右玉,小时数据,2025-01-05 20,2025-01-05 20:00:43,000,869.5,1032.8,-9.4,1.4,46,30000,0.0,-,311,2.3,308,2.4,-13.3,-15.4
53478/右玉,小时数据,2025-01-05 19,2025-01-05 19:00:42,000,868.9,1032.0,-8.5,1.4,44,25835,0.0,-,303,2.6,304,2.7,-12.0,-13.2
53478/右玉,小时数据,2025-01-05 18,2025-01-05 18:00:42,000,867.9,1030.2,-6.9,1.3,37,30000,0.0,-,316,2.7,318,3.6,-10.2,-10.6
53478/右玉,小时数据,2025-01-05 17,2025-01-05 17:00:43,000,866.8,1028.9,-5.1,1.2,28,30000,0.0,-,308,4.6,308,5.1,-7.5,-7.6
53478/右玉,小时数据,2025-01-05 16,2025-01-05 16:00:38,000,866.0,1027.7,-3.8,1.2,27,30000,0.0,-,310,6.7,308,6.0,-1.2,-2.0
53478/右玉,小时数据,2025-01-05 15,2025-01-05 15:00:43,000,865.3,1026.0,-3.4,1.3,27,30000,0.0,-,304,4.4,311,5.8,4.1,2.8
53478/右玉,小时数据,2025-01-05 14,2025-01-05 14:00:41,000,864.7,1024.7,-3.7,1.5,33,26866,0.0,-,295,7.4,298,6.9,5.6,4.2
53478/右玉,小时数据,2025-01-05 13,2025-01-05 13:00:39,000,864.8,1024.6,-4.0,1.8,39,30000,0.0,-,287,3.7,294,5.6,7.5,6.3
53478/右玉,小时数据,2025-01-05 12,2025-01-05 12:00:40,000,864.8,1024.7,-4.8,1.9,45,24646,0.0,-,276,5.1,287,6.2,5.1,4.1
53478/右玉,小时数据,2025-01-05 11,2025-01-05 11:00:42,000,864.6,1024.4,-5.4,2.2,55,15892,0.0,-,271,6.0,270,5.8,2.1,1.4
53478/右玉,小时数据,2025-01-05 10,2025-01-05 10:00:43,000,864.7,1025.0,-6.8,2.5,67,11313,0.0,-,270,4.7,286,3.3,-3.6,1.0
53478/右玉,小时数据,2025-01-05 09,2025-01-05 09:00:45,000,864.0,1024.9,-8.5,2.4,73,11081,0.0,-,287,4.0,287,3.0,-11.3,-9.7
53478/右玉,小时数据,2025-01-05 08,2025-01-05 08:00:42,000,863.4,1024.2,-8.6,2.3,73,7872,0.0,-,290,2.9,282,3.5,-13.0,-11.9
